ID;ICAO;Name;Country;Active
1566;VLX;Biz Jet Charter;United States;N
1567;VOL;Blue Chip Jet;Sweden;N
1568;WFD;BAE Systems;United Kingdom;N
1569;WTN;BAE Systems;United Kingdom;N
1570;XBO;Baseops International;United States;N
1571;XDA;Bureau Veritas;France;N
1572;XMS;British Airways;United Kingdom;N
1573;ZBA;Boskovic Air Charters Limited;Kenya;N
1574;SRJ;C Air Jet Airlines;Syrian Arab Republic;N
1575;ORO;C N Air;Spain;N
1576;TIP;C and M Aviation;United States;N
1577;RWG;C&M Airways;United States;N
1578;RMU;C.S.P.;AIR-MAUR;N
1579;CBI;CABI;Ukraine;N
1580;CPI;CAI;Italy;N
1581;ICL;CAL Cargo Air Lines;Israel;Y
1582;CMR;CAM Air Management;United Kingdom;N
1583;CTZ;CATA L;Argentina;N
1584;CCF;CCF Manager Airline;Germany;N
1585;CED;CEDTA (Compania Ecuatoriana De Transportes Aereos);Ecuador;N
1586;HBI;CHC Denmark;Denmark;N
1587;HEM;CHC Helicopters;Australia;N
1588;SCH;CHC Airways;Netherlands;N
1589;HKS;CHC Helikopter Service;Norway;N
1590;VCI;CI-Tours;Ivory Coast;N
1591;CKC;CKC Services;United States;N
1592;CMZ;CM Stair;Mauritania;N
1593;CNT;CNET;France;N
1594;OAP;COAPA AIR;Mexico;N
1595;PDR;COMAV;Namibia;N
1596;CRH;CRI Helicopters Mexico;Mexico;N
1597;IRO;CSA Air;United States;N
1598;CSE;CSE Aviation;United Kingdom;N
1599;CTQ;CTK Network Aviation;Ghana;N
1600;CBR;Cabair College of Air Training;United Kingdom;N
1601;CVE;Cabo Verde Express;Cape Verde;N
1602;CWD;Caernarfon Airworld;United Kingdom;N
1603;CCE;Cairo Air Transport Company;Egypt;N
1604;CGC;Cal Gulf Aviation;Sao Tome and Principe;N
1605;REZ;Cal-West Aviation;United States;N
1606;CSL;California Air Shuttle;United States;N
1607;CLI;Calima Aviacion;Spain;Y
1608;CAV;Calm Air;Canada;N
1609;CAM;Camai Air;United States;N
1610;KHM;Cambodia Airlines;Cambodia;N
1611;UYC;Cameroon Airlines;Cameroon;N
1612;HSO;Campania Helicopteros De Transporte;Spain;N
1613;CJA;CanJet;Canada;N
1614;PIL;Canada Jet Charters;Canada;N
1615;CDN;Canadian Airlines;Canada;Y
1616;CTG;Canadian Coast Guard;Canada;N
1617;HIA;Canadian Eagle Aviation;Canada;N
1618;CFC;Canadian Forces;Canada;N
1619;BZD;Canadian Global Air Ambulance;Canada;N
1620;CDN;Canadian Helicopters;Canada;N
1621;TKR;Canadian Interagency Forest Fire Centre;Canada;N
1622;XNC;Canadian National Telecommunications;Canada;N
1623;MPE;Canadian North;Canada;Y
1624;CDR;Canadian Regional Airlines;Canada;N
1625;CWH;Canadian Warplane Heritage Museum;Canada;N
1626;CWA;Canadian Western Airlines;Canada;N
1627;CWW;Canair;China;N
1628;CUI;Cancun Air;Mexico;N
1629;KAP;Cape Air;United States;Y
1630;CTO;Cape Air Transport;Australia;N
1631;SEM;Cape Central Airways;United States;N
1632;CMY;Cape Smythe Air;United States;N
1633;CPX;Capital Air Service;United States;N
1634;CPD;Capital Airlines;Kenya;N
1635;NCP;Capital Airlines Limited;Nigeria;N
1636;CCI;Capital Cargo International Airlines;United States;N
1637;CCQ;Capital City Air Carriers;United States;N
1638;EGL;Capital Trading Aviation;United Kingdom;N
1639;CEX;Capitol Air Express;United States;N
1640;CWZ;Capitol Wings Airline;United States;N
1641;VAN;Caravan Air;Mauritania;N
1642;CWN;Cardiff Wales Flying Club;United Kingdom;N
1643;FVA;Cardinal/Air Virginia;United States;N
1644;GOL;Cardolaar;Namibia;N
1645;CDI;Cards Air Services;Philippines;N
1646;CFH;Care Flight;Australia;N
1647;CDM;Carga Aerea Dominicana;Dominican Republic;N
1648;EST;Carga Express Internacional;Mexico;N
1649;GGC;Cargo 360;United States;N
1650;MCX;Cargo Express;Mauritania;N
1651;CRV;Cargo Ivoire;Ivory Coast;N
1652;CLM;Cargo Link (Caribbean);Barbados;N
1653;CTW;Cargo Three;Panama;N
1654;CRG;Cargoitalia;Italy;N
1655;CJT;Cargojet Airways;Canada;N
1656;CLX;Cargolux;Luxembourg;N
1657;CGM;Cargoman;Oman;N
1658;DEL;Carib Aviation;Antigua and Barbuda;N
1659;BCB;Carib Express;Barbados;N
1660;CBC;Caribair;Dominican Republic;N
1661;DCC;Caribbean Air Cargo;Barbados;N
1662;CLT;Caribbean Air Transport;Netherlands;N
1663;BWA;Caribbean Airlines;Trinidad and Tobago;Y
1664;IQQ;Caribbean Airways;Barbados;N
1665;TLC;Caribbean Express;United States;N
1666;GFI;Caribbean Star Airlines;Antigua and Barbuda;N
1667;CRT;Caribintair;Haiti;N
1668;CVG;Carill Aviation;United Kingdom;N
1669;KRP;Carpatair;Romania;Y
1670;CRR;Carranza;Chile;N
1671;ULS;Carroll Air Service;United States;N
1672;CMT;Casement Aviation;United States;N
1673;CSO;Casino Airline;United States;N
1674;CSP;Casper Air Service;United States;N
1675;CPN;Caspian Airlines;Iran;Y
1676;CSJ;Castle Aviation;United States;N
1677;CAZ;Cat Aviation;Switzerland;N
1678;CBT;Catalina Flying Boats;United States;N
1679;TEX;Catex;France;N
1680;CPA;Cathay Pacific;Hong Kong SAR of China;Y
1681;CJR;Caverton Helicopters;Nigeria;N
1682;CAY;Cayman Airways;Cayman Islands;Y
1683;CEB;Cebu Pacific;Philippines;Y
1684;CIL;Cecil Aviation;United Kingdom;N
1685;CEG;Cega Aviation;United Kingdom;N
1686;CEC;Celtic Airways;United Kingdom;N
1687;CWE;Celtic West;United Kingdom;N
1688;CNA;Centavia;Serbia;N
1689;CEV;Cente D'Essais En Vol;France;N
1690;CNL;Centennial Airlines;United States;N
1691;CNS;Centennial Flight Centre;Canada;N
1692;CVO;Center Vol;Spain;N
1693;CTS;Center-South;Russia;N
1694;CET;Centrafrican Airlines;Central African Republic;N
1695;CAX;Central Air Express;Democratic Republic of Congo;N
1696;CTL;Central Airlines;United States;N
1697;CNY;Central Airways;Sierra Leone;N
1698;ACN;Central American Airlines;Nicaragua;N
1699;YOG;Central Aviation;United States;N
1700;CCG;Central Connect Airlines;Czech Republic;Y
1701;DRN;Central De Discos De Reynosa;Mexico;N
1702;CMA;Central European Airlines;Czech Republic;N
1703;CHA;Central Flying Service;United States;N
1704;CEM;Central Mongolia Airways;Mongolia;N
1705;GLR;Central Mountain Air;Canada;N
1706;CQC;Central Queensland Aviation College;Australia;N
1707;CSI;Central Skyport;United States;N
1708;CLW;Centralwings;Poland;Y
1709;DTV;Centre Airlines;United States;N
1710;CGS;Centre of Applied Geodynamica;Russia;N
1711;CVC;Centre-Avia;Russia;N
1712;CCV;Centro De Helicopteros Corporativos;Mexico;N
1713;ACF;Centro de Formacion Aeronautica de Canarias;Spain;N
1714;CWC;Centurion Air Cargo;United States;N
1715;URY;Century Aviation;Mexico;N
1716;HAI;Century Aviation International;Canada;N
1717;XAD;Certified Air Dispatch;United States;N
1718;CER;Cetraca Aviation Service;Democratic Republic of the Congo;N
1719;IRU;Chabahar Airlines;Iran;N
1720;CLG;Chalair Aviation;France;N
1721;CHK;Chalk's Ocean Airways;United States;N
1722;CLS;Challenge Air Transport;Germany;N
1723;CHS;Challenge Aviation;Australia;N
1724;OFF;Challenge International Airlines;United States;N
1725;CHG;AC Challenge Aero;Ukraine;N
1726;CPH;Champagne Airlines;France;N
1727;CCP;Champion Air;United States;N
1728;NCH;Chanchangi Airlines;Nigeria;N
1729;CGN;Changan Airlines;China;N
1730;CHN;Channel Island Aviation;United States;N
1731;WML;Chantilly Air;United States;N
1732;CPL;Chaparral Airlines;United States;N
1733;CSU;Chari Aviation Services;Chad;N
1734;CAH;Charlan Air Charter;South Africa;N
1735;HMD;Charlie Hammonds Flying Service;United States;N
1736;CGD;Charlotte Air National Guard;United States;N
1737;CHW;Charter Air;Austria;Y
1738;HRT;Chartright Air;Canada;N
1739;CHQ;Chautauqua Airlines;United States;Y
1740;CBB;Cheboksary Airenterprise JSC;Russia;N
1741;CHM;Chemech Aviation;Pakistan;N
1742;CHZ;Cherline;Russia;N
